id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
879591762790044991,Home in Palamós · 2 bedrooms · 3 beds · 2 baths,382111933,Albert,,Palamós,41.8496856,3.1191454,Entire home/apt,160,3,0,,,1,363,0,HUTG-067646
877259710139427426,Home in Lladó · ★3.86 · 6 bedrooms · 9 beds · 4 baths,491849258,Quim,,Lladó,42.24751,2.81375,Entire home/apt,621,2,7,2023-09-03,1.35,1,361,7,HUTG-069019
877263702315562075,Rental unit in Platja d'Aro · ★5.0 · 3 bedrooms · 4 beds · 2 baths,86847780,Gina,,Castell-Platja d'Aro,41.8102409,3.0607499,Entire home/apt,180,5,3,2023-08-14,0.56,14,357,3,HUTG-068032
877266782114896548,Home in L'Escala · 3 bedrooms · 4 beds · 1 bath,4208003,Cristina,,L'Escala,42.111741977,3.160393719,Entire home/apt,235,1,0,,,23,33,0,HUTG-068507
877272083758976279,Rental unit in Llívia · 3 bedrooms · 5 beds · 2 baths,249710578,Natalia,,Llívia,42.46154826833756,1.9736960840145688,Entire home/apt,185,1,0,,,1,85,0,HUTG-033981
879597462200664065,Home in Cadaqués · 2 bedrooms · 3 beds · 1.5 baths,503177503,Jana,,Cadaqués,42.28716,3.27706,Entire home/apt,365,7,2,2023-08-12,0.41,1,127,2,HUTG-059865
877281499778883958,Rental unit in Empuriabrava · 2 bedrooms · 3 beds · 1 bath,148547858,Lola,,Castelló d'Empúries,42.24368,3.1239,Entire home/apt,86,1,0,,,22,0,0,HUTG-014817
877285721287299734,Rental unit in Cadaqués · 2 bedrooms · 3 beds · 1 bath,125482009,Eva,,Cadaqués,42.29261,3.2788,Entire home/apt,84,31,0,,,1,319,0,Exempt
879603646670891784,Hotel in Sa Riera · 1 bedroom · 1 bed · 1 bath,490429239,Andres,,Begur,41.95994870819244,3.2071505571724255,Private room,400,1,0,,,2,239,0,KG-000024
877328376186712098,Rental unit in Lloret de Mar · ★4.89 · 1 bedroom · 2 beds · 1 bath,167328746,RentStanLloret,,Lloret de Mar,41.697102,2.833679,Entire home/apt,150,2,9,2023-09-17,1.29,20,155,9,HUTG-020896
879613872579261859,Home in Calonge · 3 bedrooms · 4 beds · 0 baths,127955218,Costa Brava Si,,Calonge,41.851874106,3.068302022,Entire home/apt,194,1,1,2023-07-29,0.19,65,86,1,HUTG-010523
873755165483183565,Rental unit in Besalú · ★5.0 · 1 bedroom · 2 beds · 1 bath,391085968,Isabel,,Besalú,42.1994,2.70056,Entire home/apt,129,2,5,2023-11-02,0.62,11,58,5,HUTG-058802
879638391687025180,Rental unit in Figueres · ★4.94 · 1 bedroom · 1 bed · 1 private bath,427783488,Eva,,Figueres,42.258127,2.963991,Private room,43,1,102,2023-12-28,12.86,1,348,102,HUTG-052184
873802115831196421,Rental unit in Lloret de Mar · 2 bedrooms · 2 beds · 1 bath,510942023,Teodosi,,Lloret de Mar,41.69712,2.83256,Entire home/apt,80,3,0,,,1,57,0,HUTG-046374
873804417751016101,Rental unit in Empuriabrava · 1 bedroom · 2 beds · 1 bath,482664742,Holidu,,Castelló d'Empúries,42.2483401,3.1214956,Entire home/apt,141,1,1,2023-07-09,0.17,40,364,1,HUTG-067656
873805979622148414,Rental unit in Figueres · ★5.0 · 2 bedrooms · 4 beds · 2 baths,482664742,Holidu,,Figueres,42.2658926,2.9566493,Entire home/apt,141,1,5,2023-09-20,0.93,40,363,5,HUTG-064601
873807661835318644,Rental unit in Roses · 1 bedroom · 2 beds · 1 bath,482664742,Holidu,,Roses,42.2466071,3.1860271,Entire home/apt,129,1,1,2023-05-20,0.13,40,364,1,HUTG-057057
873808563375322705,Villa in Bon Relax · 3 bedrooms · 6 beds · 2 baths,482664742,Holidu,,Sant Pere Pescador,42.17972,3.0942,Entire home/apt,282,1,2,2023-10-08,0.32,40,364,2,HUTG-066939
873810868308940118,Rental unit in Roses · ★4.67 · 2 bedrooms · 2 beds · 1 bath,482664742,Holidu,,Roses,42.2498107,3.191245,Entire home/apt,141,1,3,2023-10-14,0.71,40,364,3,HUTG-025054
873812115631007067,Rental unit in Roses · 1 bedroom · 1 bed · 1 bath,482664742,Holidu,,Roses,42.271551,3.143005,Entire home/apt,117,1,1,2023-08-26,0.24,40,364,1,HUTG-009226
877355461159815074,Home in L'Escala · 2 bedrooms · 2 beds · 1 bath,58560249,Violette,,L'Escala,42.11330749588777,3.131233602762222,Entire home/apt,88,7,2,2023-08-30,0.40,1,178,2,HUTG-029795
879647603438765896,Rental unit in Empuriabrava · ★5.0 · 2 bedrooms · 3 beds · 1 bath,389740187,Arnaud,,Castelló d'Empúries,42.24992988372673,3.1172051772461096,Entire home/apt,96,4,4,2023-10-29,0.73,1,351,4,HUTG-070646
880216474516830972,Rental unit in Lloret de Mar · ★4.83 · 1 bedroom · 1 bed · 1 bath,36954010,Alex,,Lloret de Mar,41.71005,2.88084,Entire home/apt,62,3,6,2023-09-05,1.15,4,238,6,HUTG-014925
873850569325832215,Home in Pals · 3 bedrooms · 4 beds · 2 baths,33902031,Property Care,,Pals,41.97409,3.17083,Entire home/apt,221,3,1,2023-09-22,0.30,34,271,1,Hutg-050923
879703288192554328,Rental unit in Palamós · 2 bedrooms · 4 beds · 1 bath,96990025,Adolf,,Palamós,41.85325,3.14087,Entire home/apt,73,5,1,2023-07-29,0.19,1,173,1,HUTG-041904
883208624556932874,Rental unit in Torroella de Montgrí · ★3.43 · 2 bedrooms · 4 beds · 1 bath,50442232,La Pineda,,Torroella de Montgrí,42.04813,3.1949,Entire home/apt,999,1,7,2023-08-07,0.96,6,151,7,HUTG-011232
