id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
955578611689527637,Villa in Son Parc · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Es Mercadal,40.02762027371601,4.165107196635467,Entire home/apt,536,1,0,,,199,131,0,ET3436ME
955602056700600689,Villa in S'Algar · 3 bedrooms · 5 beds · 3 baths,515028500,Villa Plus,,Sant Lluís,39.83712725807032,4.2991569366111415,Entire home/apt,575,1,0,,,199,131,0,HT 313 ME
955611312443030130,Villa in Torre Soli Nou · 4 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Alaior,39.9077755218665,4.069496982682978,Entire home/apt,802,1,0,,,199,147,0,HT 255 ME
955614515214201431,Villa in Cap d'Artrutx · 2 bedrooms · 3 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.92493139251151,3.827152962319492,Entire home/apt,364,1,0,,,199,56,0,REG 90 (18/03/91)
955619394872385120,Villa in Punta Prima · 3 bedrooms · 4 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.81655758061772,4.2787579774652675,Entire home/apt,400,1,0,,,199,152,0,RE 27340
955621134021172028,Villa in Binibèquer · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.819080972547205,4.245746646111612,Entire home/apt,482,1,0,,,199,126,0,VT 501 ME
955626424603431283,Villa in Cala Galdana · 3 bedrooms · 5 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.939638479767304,3.9567998374088234,Entire home/apt,427,1,0,,,199,91,0,VT 747 ME
955627528853921409,Villa in Los Delfines · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.00156710916038,3.8024102036751977,Entire home/apt,398,1,0,,,199,112,0,HT 191 ME
955641727990761111,Villa in Ciutadella de Menorca · 5 bedrooms · 8 beds · 3.5 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.974450157799986,3.83479558282609,Entire home/apt,741,1,1,2023-10-28,0.47,199,84,1,GE/481/2019
955649629446032704,Villa in S'Algar · 3 bedrooms · 5 beds · 2 baths,515028500,Villa Plus,,Sant Lluís,39.834253492350435,4.296323466856151,Entire home/apt,310,1,0,,,199,147,0,HT 331 ME
955660003893022143,Villa in Son Parc · 4 bedrooms · 7 beds · 3 baths,515028500,Villa Plus,,Es Mercadal,40.0282879607881,4.166034458871562,Entire home/apt,614,1,0,,,199,154,0,VT 394 ME
955661367785686691,Villa in Cala Blanca · 4 bedrooms · 6 beds · 2.5 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.965704257957825,3.8371155775528045,Entire home/apt,591,1,0,,,199,84,0,ET 1921 ME
955662410166767311,Villa in Santo Tomas · 4 bedrooms · 7 beds · 3 baths,515028500,Villa Plus,,Es Migjorn Gran,39.91935722023764,4.036961247167988,Entire home/apt,918,1,0,,,199,138,0,EXP 2168 (06/06/88)
955662722077297490,Villa in Ciutadella de Menorca · 4 bedrooms · 6 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,39.97068,3.83337,Entire home/apt,504,1,0,,,199,173,0,VT 664 ME
955665654245918077,Villa in San Jaime Mediterráneo · 3 bedrooms · 6 beds · 3 baths,515028500,Villa Plus,,Alaior,39.903613514811354,4.071778377475091,Entire home/apt,598,1,0,,,199,150,0,HT 220 ME
955670867785990237,Villa in Illes Balears · 4 bedrooms · 7 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.005690537298285,3.799236915291168,Entire home/apt,948,1,0,,,199,180,0,VT 686 ME
955680150679770325,Villa in Ciutadella de Menorca · 3 bedrooms · 5 beds · 3 baths,515028500,Villa Plus,,Ciutadella de Menorca,40.00545986678606,3.8089926074468,Entire home/apt,449,1,0,,,199,124,0,VT 889 ME
