,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,married,not_married,total_work_activity,household_income,low_income_percent,avg_household_size,single_parents,two_plus_person_household,one_person_household,single_detached_house,apart_5_plus,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,non_immigrants,immigrants,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_50000_59999,income_above_100k,unemployed,employed,highschool_diploma,no_certificate_diploma_degree,post_secondary_diploma,other_dwelling,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_60000_79999,income_between_80000_99999
High Park North,955,935,885,765,930,1845,2600,2305,1705,1570,1350,1410,1255,1125,935,535,350,240,90,60,0,9960,9115,19075,19075,11.9,2,760,635,4800,1385,6620,3710,7390,10665,430,10135,965,13845,7205,2350,235,2165,490,290,235,210,110,200,255,965,3535,5570,13500,17650,1250,14680,65511534019750.0,625345,505365,575415,870825,710600
Runnymede-Bloor West Village,600,705,700,620,370,395,590,805,885,875,790,760,615,475,400,225,145,125,30,10,0,5155,2965,8115,8115,5.1,2.6,310,145,830,2010,0,2990,845,3815,20,3735,105,7830,2145,1230,75,535,225,90,160,30,30,0,40,170,2155,2260,5855,7175,880,5855,7705023575510.0,8560,8085,12095,235235,245160
Junction Area,705,680,660,575,630,1065,1490,1345,1200,1110,990,985,795,620,550,240,195,115,55,10,0,6455,5505,11965,11970,8.8,2.3,445,395,1975,745,730,3500,2535,5925,110,5685,345,9440,4250,1860,240,1050,500,215,180,60,30,110,135,460,2370,3345,8620,10360,1455,8105,1020600435247520.0,175250,210210,225260,385380,400370
Weston-Pelham Park,585,540,455,510,610,795,950,1040,825,740,765,725,660,480,395,245,175,135,45,15,0,4560,4550,9110,9110,13.1,2.6,450,255,1225,475,505,2490,1705,4020,170,3655,540,5775,4585,1680,255,960,180,105,75,45,90,135,145,315,1430,3695,5415,6425,2535,4070,132031020013850.0,240205,135165,150145,255295,210235
Corso Italia-Davenport,660,695,495,550,710,1060,1305,1155,1080,855,870,820,845,665,470,340,265,220,95,30,0,6195,5155,11355,11355,8.8,2.5,490,365,1250,1220,0,3300,1915,5095,120,4775,440,7630,4985,2000,375,1185,290,185,115,85,0,40,55,355,2150,3910,7440,8610,2585,6320,1260115530201070.0,155240,180235,230220,380360,235275
Wychwood,590,545,635,530,595,975,1205,1090,965,830,870,865,770,715,535,420,305,245,95,15,0,5630,5400,11025,11030,11.2,2.2,560,350,2050,910,1365,2920,2855,5695,80,5380,395,8200,4325,1360,150,945,340,215,140,110,45,55,115,460,2110,3735,7295,9245,1695,7065,890265350195540.0,345240,260225,220195,420380,340240
Annex,880,780,775,865,2145,3535,3480,2445,1730,1635,1730,1825,1680,1470,1715,1120,815,465,165,25,0,12745,14115,26865,26865,14.4,1.8,795,1245,8065,615,8895,6675,9655,16040,290,15425,900,18725,9115,2415,310,1760,1715,615,360,560,250,355,475,1070,5900,8440,18425,25210,1520,21220,1180590420453595.0,815670,615610,640620,1230885,905720
Casa Loma,345,395,435,480,580,925,1040,755,595,645,725,765,745,755,800,530,455,225,105,45,0,5400,4780,10180,10175,10.7,2,360,290,2515,880,3185,2545,3260,5765,45,5550,260,7840,3180,1110,150,640,400,135,180,190,30,125,75,405,2550,3580,6595,9655,485,7925,28520515011100.0,220225,135185,180190,415325,350225
Yonge-St. Clair,470,410,435,350,460,1075,1380,1110,785,755,780,865,755,810,865,640,510,295,135,30,0,6135,5460,11590,11595,9.8,1.8,375,330,3505,575,4550,2850,4355,7095,110,6820,385,8740,3730,1360,175,880,535,70,135,200,60,75,145,585,2805,3770,7820,10970,550,9375,43019511513450.0,275225,190285,300285,530495,380375
Rosedale-Moore Park,635,825,930,980,1050,1045,1175,1230,1035,1200,1315,1575,1485,1440,1490,1220,755,425,185,70,10,9930,7755,17685,17685,8.8,2,570,380,4075,2425,4955,5690,4190,9765,115,9460,420,13720,5650,1775,210,1015,625,170,105,245,55,100,130,630,4865,7010,10675,16760,855,14160,48526530514450.0,275305,295255,325260,600575,490475
Mount Pleasant East,845,950,985,920,840,860,1025,1255,1265,1220,1270,1150,1000,895,745,590,270,160,85,40,0,7900,5690,13590,13590,8.3,2.3,505,260,2485,2145,2155,3950,3220,7035,135,6735,435,11305,4620,1895,160,805,460,80,170,130,50,45,100,485,3320,4190,9400,12515,985,10310,15751401709800.0,365250,210160,230220,375465,390365
Yonge-Eglinton,495,595,630,645,600,1055,1340,1110,920,865,850,765,590,585,595,365,200,120,65,15,0,5705,4980,10690,10690,10.5,2.1,375,325,2475,1390,2380,2230,3765,5845,150,5535,460,8020,3705,1290,140,925,290,105,200,155,55,50,145,485,2355,3185,7510,9915,700,8375,4356531514200.0,210190,180255,280300,425250,355295
Forest Hill South,335,455,580,640,660,740,720,620,570,690,750,705,720,785,655,540,310,225,130,35,0,5215,4290,9500,9500,9.8,2.1,300,200,2005,1635,2235,2470,2610,5005,70,4830,245,7510,3010,1450,105,560,245,50,225,155,40,50,75,370,2325,3465,6040,8840,620,7280,65358010150.0,150180,145140,200175,335250,290205
Forest Hill North,590,610,695,725,680,725,755,880,875,865,880,810,895,755,650,370,270,135,80,25,20,5530,4875,10405,10400,10.8,2.3,465,250,1795,1460,3275,1835,3410,4895,350,4450,800,6795,4790,1870,235,1160,285,75,190,65,20,75,85,415,1960,3325,7075,9470,855,7385,10401103450.0,245200,220220,235210,305370,345270
Lawrence Park South,550,805,1090,1220,995,745,795,770,910,1120,1200,1210,950,845,675,465,325,175,115,15,0,7455,5050,12510,12505,7.2,2.6,455,150,1490,3395,1060,3960,1825,5705,80,5540,245,11040,3565,1720,160,695,270,55,130,95,30,80,80,320,3435,4450,8060,11460,1020,9480,95302509550.0,120115,115125,60165,265210,305265
Lawrence Park North,755,1015,1195,1035,780,540,710,830,1105,1265,1345,1040,870,690,610,365,270,155,80,15,0,7400,4310,11705,11710,5.6,2.7,420,120,1260,3195,185,4105,1355,5390,70,5245,215,10745,3630,1715,120,675,295,60,155,105,25,85,55,250,3470,3715,8000,10745,925,9005,925251759500.0,13095,9590,165110,190175,235200
Humewood-Cedarvale,655,705,775,640,705,1135,1310,1185,1035,1005,910,815,805,775,575,340,275,140,65,10,0,6100,5620,11715,11715,11.2,2.2,445,385,2430,1820,1805,2325,4010,6045,290,5630,705,8895,4440,1640,200,1345,325,125,200,75,55,70,175,515,2220,3395,8320,10695,945,8475,230016023200.0,375310,255270,245330,420400,345280
Oakwood Village,1100,1035,945,970,1100,1395,1790,1730,1490,1390,1405,1440,1265,1060,890,695,520,315,140,35,0,8945,8690,17635,17635,12,2.4,950,565,2655,2765,1535,4355,4280,8215,425,7500,1140,10805,9010,2800,480,2485,340,155,185,145,30,155,170,745,2795,6705,10930,13875,3525,9890,129015655237010.0,635425,330355,345400,655610,420430
Briar Hill-Belgravia,715,650,545,630,855,1105,1285,1150,1085,965,1080,1135,985,735,675,340,320,155,135,25,0,6400,6265,12670,12665,11.5,2.5,660,445,1710,1615,2385,2850,3090,5490,450,4860,1080,5685,8135,2400,440,1830,250,45,135,90,45,110,110,540,1850,4550,8120,10205,2280,7335,1708041012700.0,280235,270245,260230,445405,485335
Caledonia-Fairbank,515,455,465,470,625,720,855,795,750,700,725,735,690,525,345,240,190,115,70,20,0,4695,3880,8575,8575,10.6,2.7,440,215,785,1685,140,2335,1375,3555,155,3205,505,4455,4975,1855,495,1140,95,40,100,30,40,30,75,295,1295,3345,5235,5845,2590,3890,505203809650.0,145145,135155,150175,315250,270210
Keelesdale-Eglinton West,570,490,555,610,655,845,915,890,810,725,740,810,845,610,460,260,290,185,75,35,10,4945,4830,9770,9775,12.5,2.6,480,245,1210,1700,675,2595,1785,4170,215,3815,560,4810,5985,2145,525,1120,160,20,55,85,20,45,80,390,1270,3940,5830,6450,3115,3840,4751541511000.0,330260,210150,150205,305330,285265
Rockcliffe-Smythe,1115,1040,1170,1145,1280,1500,1620,1670,1545,1355,1430,1775,1495,1235,1115,745,520,320,110,45,15,9060,9850,18910,18910,15.8,2.5,1250,445,2875,2775,3275,5075,3960,8505,530,7780,1255,10625,10620,4020,635,1925,270,50,210,85,75,170,330,740,2490,8355,10560,13460,5060,8215,1135215395122015.0,610515,375435,495405,755625,545375
Beechborough-Greenbrook,290,325,415,355,450,440,420,480,435,400,475,465,390,310,230,165,90,85,30,10,0,2250,2975,5225,5230,18,2.4,505,155,810,665,650,860,1715,2370,205,2035,535,2645,3260,1005,175,760,60,20,70,65,20,80,70,290,500,2320,2910,3690,1380,2125,90107010850.0,125145,155130,175110,205185,200120
Weston,1120,1085,920,955,1175,1385,1620,1465,1220,1195,1345,1315,1205,995,700,420,285,155,80,40,0,6770,8785,15555,15550,18.6,2.4,1210,535,2815,1615,4715,2810,5110,7280,640,6240,1680,8840,8905,3475,425,1760,190,20,105,110,55,215,330,715,1805,6570,8985,11645,3580,7220,2251452259900.0,655365,375395,370430,715535,455385
Lambton Baby Point,435,520,590,540,425,340,450,575,540,640,675,555,460,460,260,185,140,115,40,10,0,3590,2835,6420,6425,12,2.6,405,75,810,1270,680,1830,1275,2970,135,2860,245,5445,2375,970,150,395,145,45,45,25,25,55,75,225,1450,2355,4065,5525,840,4215,535151005000.0,19090,10585,85100,170185,15580
Mount Dennis,710,740,700,765,870,975,1040,960,905,805,895,1015,925,650,450,330,165,110,40,10,0,4805,6105,10905,10910,14.9,2.6,980,270,1405,965,2390,2400,2655,4670,385,4020,1040,5445,7060,2595,340,1435,165,30,65,50,20,95,135,510,1245,4575,6330,8155,2515,5075,12536018010350.0,240235,225320,250250,425415,380265
Steeles,735,945,1075,1015,1280,1325,1370,1235,1245,1360,1490,1695,1770,1675,1640,1115,840,650,230,60,15,11475,8540,20010,20015,14.8,2.9,840,315,1470,3700,2810,6520,1340,7385,485,7025,835,5670,15825,3850,675,765,185,55,95,180,50,65,165,680,2470,10390,9625,15535,4325,9970,1955653002800.0,375275,345360,330285,675570,515515
Tam O'Shanter-Sullivan,1255,1115,1285,1290,1835,2015,1775,1815,1460,1465,1750,2090,1860,1615,1295,1145,985,725,320,80,10,12305,11235,23540,23540,14.4,2.6,1170,545,2705,3040,5185,5815,4535,9435,915,8695,1650,9335,16410,4715,730,1885,240,30,175,175,80,100,205,875,2940,10825,12715,19345,3955,13500,18593063533045.0,635400,500460,415475,930780,770620
Wexford/Maryvale,1260,1465,1445,1525,1965,2245,1970,1830,1730,1850,1950,2295,2050,1530,1160,765,600,430,215,50,0,12280,11890,24170,24170,11.6,2.8,1260,615,2465,5265,2080,6050,4220,9545,720,8685,1580,12365,14400,5485,815,2290,405,35,265,135,60,100,200,875,3360,10010,14155,19780,4060,12945,4101430106015.0,400395,425395,445520,930685,715625
Clairlea-Birchmount,1440,1635,1420,1565,1785,1790,2030,2015,1855,1905,2020,2060,1655,1235,990,570,395,255,170,50,0,11990,10350,22335,22340,11.5,2.9,1120,570,2005,3170,1940,6000,3405,8660,745,7805,1595,12090,13590,4520,595,2800,315,40,200,100,25,95,130,820,3370,8925,13415,18480,3635,12735,1.110118563513005e+16,215245,390390,480380,775680,740580
Oakridge,790,910,865,870,910,935,1040,1075,940,940,975,835,920,600,485,210,215,120,55,15,0,5350,5790,11135,11140,22.5,2.6,665,330,1745,1080,3160,1630,3680,4520,790,3920,1395,5655,7245,1695,215,1500,145,20,95,85,35,250,180,540,990,5625,5510,8670,2280,5640,15020047024015.0,480290,290250,225240,495395,310275
Birchcliffe-Cliffside,1100,1160,1185,1200,1225,1260,1370,1475,1605,1690,1715,1985,1705,1410,1080,665,405,285,145,35,0,10380,8880,19260,19260,9.7,2.4,955,415,3100,4940,1345,6310,3305,9415,200,9075,540,16085,6165,4040,435,1190,320,85,300,95,125,185,165,790,3635,7460,11800,16405,2585,11710,44045805201520.0,375385,355395,305340,690700,560520
Cliffcrest,720,820,965,995,1110,1095,795,935,965,1000,1140,1365,1260,980,825,475,330,245,75,20,10,7325,6300,13620,13625,11.1,2.7,625,220,1435,3395,1290,3730,2150,5555,330,5225,650,9370,6140,2865,335,1090,165,20,170,60,30,45,90,480,2335,5790,7830,11470,1985,7830,6548542014570.0,320220,155230,195225,445360,405285
Kennedy Park,745,870,965,995,1115,1245,1110,1045,1160,1060,1210,1435,1240,950,790,505,345,220,75,20,0,6745,7775,14525,14525,17,2.6,930,395,2010,1815,2850,3440,3150,6085,505,5470,1120,6800,9570,2740,350,1920,130,10,80,95,65,205,130,560,1615,6820,7700,11390,2950,7365,36513567067085.0,465355,380350,320220,525390,515395
Ionview,735,750,730,730,820,960,1070,1130,960,705,850,1010,825,680,510,335,285,200,60,0,0,5425,5720,11145,11150,13.8,2.7,715,355,1250,1020,2720,1910,3060,4325,645,3745,1225,5270,7415,2050,340,1685,135,45,155,65,25,55,110,470,1265,4780,6370,8885,2115,5720,37515536525585.0,220245,235245,230250,505415,365265
Dorset Park,1215,1265,1305,1375,1675,1970,1695,1575,1535,1570,1710,1890,1715,1370,890,645,445,335,90,40,0,10335,10190,20525,20525,13,2.8,1190,505,2050,2125,3700,5260,3460,7745,975,6900,1815,8650,14510,4335,640,2465,340,30,160,95,80,75,165,910,2385,8805,11720,16520,3820,10825,31515955554250.0,400310,380330,450380,695780,620670
Agincourt South-Malvern West,945,955,1100,1045,1790,2345,2050,1625,1275,1420,1490,1990,1665,1370,1180,705,590,395,185,40,10,11425,9735,21165,21160,13,2.7,915,545,2050,2760,3935,6190,2700,8340,560,7835,1055,7370,14890,4810,780,1630,145,25,140,240,75,100,115,895,2520,9055,12110,17070,3900,11725,35049063565070.0,350260,365310,400435,770760,705595
Agincourt North,965,1230,1210,1260,1915,1925,1940,1580,1295,1460,2010,2210,2105,1915,1700,1025,885,575,270,70,10,13155,10980,24135,24135,12.4,3,995,365,1505,3315,2195,7135,1950,8390,700,7885,1205,7700,18665,5120,920,1465,190,55,140,120,40,75,105,785,3030,11530,12605,18465,5460,11915,795150059067015.0,470255,315420,405370,770630,710580
Milliken,970,1265,985,995,1455,1560,1740,1425,1290,1375,1590,1950,1820,1675,1465,930,710,510,210,50,10,11635,9125,20760,20760,14.6,3.2,860,300,1125,3885,1945,6670,910,6970,615,6695,890,6475,16300,4485,840,955,105,35,80,120,25,50,140,730,2350,10720,10040,15165,5440,9035,5556154609025.0,355195,360305,270365,655615,500550
Centennial Scarborough,615,720,805,820,855,730,675,785,765,890,1000,1150,835,825,725,560,385,180,60,0,0,6825,4415,11240,11240,4.4,3,445,125,545,3540,0,4075,350,4355,70,4240,180,8305,4920,2605,200,520,40,0,130,20,0,0,35,200,2645,4225,7015,10030,1085,7285,1554851301050.0,5565,10060,7070,235295,295255
Highland Creek,415,495,575,700,1140,1055,720,625,595,645,825,1010,955,915,790,590,355,125,75,30,0,6140,5000,11145,11140,6.4,3.3,280,220,425,3175,0,3275,520,3640,155,3500,290,4690,7230,2870,340,640,65,10,160,40,0,45,0,220,2005,4925,6215,9645,1330,6490,1010570250.0,5590,7065,8575,250235,255275
Morningside,835,955,1130,1040,1405,1510,1175,1065,1240,920,1190,1150,1160,945,720,545,385,210,55,20,0,7370,7370,14740,14735,12.4,3,865,345,1160,2270,2100,3495,2380,5300,580,4690,1185,6735,9870,3380,625,1495,120,25,145,45,30,75,90,450,1955,6450,8290,12370,2170,8260,409453102100.0,250230,230225,215255,480530,430375
West Hill,1330,1530,1615,1730,2135,2200,1835,1680,1615,1810,1935,2120,2070,1500,1235,875,480,280,125,45,0,10760,12905,23670,23665,15.2,2.8,1650,520,2775,3285,3500,6035,4145,9505,670,8640,1540,13170,13870,5305,720,2350,255,35,165,85,150,340,325,830,3090,10790,12880,19215,4060,12335,500155564566030.0,620400,440410,365400,810775,585550
Eglinton East,1110,1345,1325,1500,1620,1575,1525,1560,1400,1465,1465,1620,1470,1220,895,600,455,245,140,15,0,8720,10035,18755,18755,13.9,2.8,1340,520,2040,1525,5265,3805,4385,7305,890,6420,1775,8280,13275,3600,595,2450,260,10,160,85,55,85,185,785,1970,8530,10225,14865,3585,9620,15049556018525.0,390440,310380,400365,805755,695490
Scarborough Village,885,1065,1165,1085,1155,1200,1030,1205,1100,995,1180,1200,1005,780,590,405,250,165,65,15,0,6455,6955,13415,13415,17.1,2.8,1000,310,1555,1095,4030,2675,3275,5085,865,4610,1345,6570,9110,2555,390,1575,180,10,115,45,45,165,135,570,1420,6250,7160,10705,2525,7050,353051553450.0,320270,245290,260345,500530,425395
Guildwood,465,460,400,490,495,460,450,515,575,640,695,690,770,760,505,475,375,260,135,60,0,4640,3710,8350,8355,5.8,2.5,395,135,1080,2165,1060,3075,860,3865,60,3740,185,6215,3335,1545,225,495,80,15,100,15,0,30,50,250,1625,3535,4815,7330,945,5365,1402951751000.0,55130,125115,170190,280335,315245
Golfdale-Cedarbrae-Woburn,1470,1765,1700,1735,2200,2305,1935,1630,1565,1620,1550,1820,1585,1250,960,770,710,340,120,45,0,11360,10790,22150,22145,16,3.1,1215,525,1870,3700,3510,4400,4430,7700,1135,7080,1755,11105,14295,5010,775,2165,260,0,175,75,50,155,165,745,2575,10330,11815,17250,4620,11065,506511603250.0,625305,340385,385360,770675,655570
Woburn North,1295,1340,1370,1380,2095,2570,2260,1885,1595,1585,1750,1730,1585,1200,1000,705,515,485,200,30,0,11700,10875,22570,22575,15.5,2.7,1290,595,2445,2600,6055,5295,4530,8645,1180,7790,2035,9285,15385,4670,895,2375,275,30,150,185,120,245,165,885,2625,10100,12475,18650,3665,12955,24517555518010.0,495375,440400,400455,850865,790525
West Rouge,830,1065,1120,1180,1330,1370,1135,1310,1245,1290,1340,1550,1610,1395,1305,820,435,240,85,10,0,9830,7830,17660,17665,6.2,2.9,775,235,1250,3780,1080,5585,1440,6800,225,6470,555,10615,9470,4170,435,1200,100,0,230,45,25,25,55,555,3305,7090,10570,15470,1915,11025,5057853355400.0,125130,170220,265200,530465,480435
Morningside Heights,1225,1325,1535,1615,2025,2030,1770,1610,1405,1385,1695,1925,1705,1505,890,720,295,210,70,10,0,11725,9135,20860,20860,5.7,3.8,575,185,540,3885,0,5515,1010,5840,695,5585,945,9110,15130,6030,900,1320,90,0,175,35,0,30,40,375,3490,8595,12270,16530,4140,10305,70511707252510.0,7080,155155,70195,370455,490510
Malvern West,820,980,1030,1110,1460,1565,1110,1050,1125,1035,1130,1280,1090,860,785,405,315,120,35,10,0,7355,7130,14485,14490,9.7,3.4,700,280,705,1215,930,3770,1345,4565,550,4095,1020,6080,10465,3555,515,1415,150,15,175,30,25,45,65,450,1720,6065,8420,11735,2610,7510,655140554530565.0,130115,160155,185215,535420,475380
Malvern East,1095,1330,1490,1520,2040,2125,1935,1545,1540,1735,1670,1770,1780,1515,1320,715,555,295,115,10,0,10855,11320,22180,22175,11.7,3.1,1260,370,1610,2250,2435,6010,2560,7860,700,7160,1400,9320,15745,5405,800,2040,170,35,140,50,30,80,120,795,2845,9695,12480,17910,3980,11555,645215073032030.0,405245,365220,370360,670755,625635
L'Amoreaux West,780,945,1000,1060,1390,1395,1295,1095,1170,1270,1605,1745,1475,1255,1340,945,815,590,300,75,0,9600,9225,18820,18815,15.8,2.6,1055,345,2300,2000,4270,4505,3790,7780,515,7200,1100,7130,13440,3860,525,1300,170,20,210,100,65,95,180,695,2280,8995,9825,15245,3345,10520,375114514534015.0,775315,350440,340400,600580,530545
East L'Amoreaux,780,1075,1055,1220,1450,1665,1360,1260,1235,1280,1510,1775,1450,1300,1170,755,585,350,165,35,0,9685,8895,18585,18580,13.5,3,970,355,1200,1675,2725,5400,1805,6655,550,6235,970,6515,13740,3890,550,1465,140,25,110,135,0,75,115,580,2355,8925,9650,14740,3670,9660,550148528047015.0,295295,295250,305330,600515,605445
Parkwoods-O'Connor Hills,605,830,855,965,910,775,770,735,930,1020,1130,1105,910,680,615,480,290,230,105,20,0,6285,5395,11675,11680,10.7,2.8,750,185,1025,1980,1650,2385,2665,4710,340,4320,735,7505,6090,2490,330,720,170,20,140,65,25,30,105,380,2015,4590,7090,9900,1625,7290,300835402350.0,100130,205160,205185,360395,325375
Fenside-Parkwoods,940,930,1150,1210,1335,1740,1665,1480,1365,1385,1315,1535,1285,1015,745,580,445,255,95,50,0,8155,9335,17490,17490,13.2,2.5,1300,545,2235,520,5115,2735,5415,7520,625,6740,1410,8150,11035,3730,550,1660,230,20,205,130,55,85,105,785,2175,6805,10685,14910,2375,10435,10854405092520.0,355300,355355,415330,760845,560540
Yonge-Doris,735,785,655,715,1305,2180,2525,1865,1440,1250,1275,1190,945,900,750,645,485,310,165,20,10,9640,8350,17990,17990,22.5,2.1,885,805,3605,20,9090,5470,4370,9110,735,8305,1535,4605,12900,2430,240,1640,500,15,110,480,170,170,240,830,2365,6995,10990,16890,1040,13910,703060520.0,470420,450460,410500,780745,765590
East Willowdale,665,785,755,860,1165,1175,1190,960,900,960,1125,1160,1035,865,830,450,320,150,120,25,0,7535,5745,13280,13275,16.9,2.8,580,295,1190,2970,1510,3915,1695,5400,210,5135,475,5205,9285,2190,255,825,120,20,80,195,85,95,120,465,2350,5975,7305,12090,1140,9390,604002304350.0,155150,165170,195220,310345,330250
Avondale,630,540,375,395,910,1850,2110,1645,1135,870,710,655,600,460,395,250,155,100,15,0,0,6760,5490,12245,12245,18.6,2,455,495,2830,485,5445,4025,2975,6680,320,6245,755,4275,7930,1995,160,1030,265,0,90,390,125,125,185,560,2020,3810,8435,11720,500,9965,395556200.0,180220,250255,240280,610460,580515
Oakdale-Beverley Heights,1215,1300,1275,1230,1525,1395,1355,1505,1625,1425,1565,1485,1345,895,760,535,435,320,150,45,10,8270,9350,17625,17620,14.4,2.8,1250,510,1905,2150,2935,3310,4345,6760,895,5970,1690,8505,11410,4530,695,2270,165,15,140,150,45,115,145,745,2100,7900,9720,12535,4760,7130,74543027511150.0,405330,300380,395335,770540,440475
Downsview,935,805,815,975,1095,1535,1555,1285,1350,1145,1270,1400,1090,760,600,400,435,335,140,45,0,7705,7710,15410,15410,9.6,2.6,935,470,1825,2345,855,3675,3300,6350,630,5715,1260,7655,9530,3845,540,1905,225,20,140,55,50,80,140,595,2085,5745,9665,11940,3190,8195,31040030027500.0,255265,285235,370315,630625,505490
Bendale-Glen Andrew,860,930,825,995,1610,1690,1580,1400,965,1025,1175,1170,1055,985,775,550,590,320,165,25,0,8470,7605,16075,16070,17,2.5,690,485,2205,1920,4365,4490,2925,6745,670,6190,1225,6870,10340,3245,375,1390,190,15,145,310,90,85,140,605,1955,7395,8680,13450,2480,9230,27528035520515.0,355315,335370,300325,660590,540435
Bendale South,420,520,675,655,900,965,735,580,640,665,730,810,690,460,485,315,210,160,90,40,0,4665,4450,9110,9110,9.7,3.2,365,220,565,1955,485,2245,1115,3045,315,2795,560,4240,5695,2155,250,930,100,10,80,25,15,35,50,295,1190,4020,5085,7395,1620,4790,507101450.0,70105,85110,165110,275300,265250
Islington,960,1270,1210,1270,1340,1535,1610,1530,1470,1410,1635,1930,1565,1360,1115,880,670,420,210,80,0,11175,8855,20035,20030,8.5,2.5,925,420,2425,4245,3970,6355,2930,8855,435,8350,940,13145,9720,4410,440,1210,260,60,230,85,45,70,105,725,3960,7480,12555,17615,2240,13125,702301656050.0,265235,275250,360415,655745,540550
Etobicoke City Centre,1245,880,660,700,1230,2755,3345,2685,1890,1445,1390,1225,1130,875,875,570,385,180,120,10,0,10735,10080,20810,20815,13.6,2,970,770,4920,1030,10150,5960,5965,11400,530,10605,1320,10750,11470,4545,430,2455,330,30,200,175,125,215,280,1120,3255,6045,14770,18825,1825,15035,654151051650.0,625405,415445,505525,9801015,990850
Mimico-Queensway,970,760,665,575,750,1265,1665,1630,1320,1215,1070,1275,1190,880,760,465,315,175,80,10,0,7835,6820,14650,14650,12.4,2.2,615,425,2960,2335,1770,4180,3695,7640,230,7260,615,10045,6605,3210,380,1125,215,60,130,140,70,105,200,590,2720,4825,9830,12535,1960,9590,31078034523250.0,655275,260300,325275,585545,435405
Humber Bay Shores,795,475,430,420,950,2890,3690,2555,1570,1335,1210,1380,1325,1100,1025,680,410,245,85,10,0,10575,10325,20900,20900,13.5,1.7,820,715,6620,15,12250,7215,6115,12880,450,12185,1135,10785,10685,4775,345,1255,300,90,245,325,135,205,350,1205,3715,6080,14820,19410,1340,15890,14509050.0,440515,365530,675560,11651170,1050925
West Queen West,495,370,260,180,540,1895,2490,1745,1255,955,750,615,505,405,305,210,115,55,25,0,0,5685,6365,12045,12045,10.9,1.7,385,585,3915,35,5265,4190,3505,7535,160,7205,490,8700,3960,1360,125,840,740,225,200,160,50,130,230,580,3015,2265,9780,11260,705,9560,100675295129040.0,275240,210225,255300,485510,550485
Fort York-Liberty Village,645,320,235,240,1085,4525,4935,2900,1605,930,655,560,480,325,240,115,75,25,0,10,0,8735,9980,18710,18710,10.3,1.6,405,1095,6625,0,11830,5780,6630,12160,255,11555,865,11485,7325,2505,310,1315,870,230,320,305,95,125,180,1025,4050,2680,16030,18120,500,16015,18004000.0,425425,300360,375545,11701120,1110820
Wellington Place,710,305,120,205,2800,7440,5870,2920,1570,995,770,620,435,300,250,130,95,30,0,0,0,9545,14895,24440,24440,14,1.5,275,1765,10410,10,16565,6555,10510,16735,335,16085,980,13635,9265,1610,220,1290,2445,240,375,705,330,360,420,1435,5525,3535,20900,23950,415,21470,7070033015.0,465420,520525,585615,15051340,12551065
Harbourfront-CityPlace,1030,655,385,365,2250,6515,6305,3465,1890,1210,975,800,760,575,400,280,130,100,35,0,0,11960,14105,26060,26065,14.4,1.7,655,2085,8100,0,16470,6625,9930,15865,685,14855,1695,12090,12915,2190,325,1635,1980,235,430,640,170,220,390,1480,5330,4685,21385,25145,835,22210,650150.0,540460,465530,540620,14151465,12701010
St Lawrence-East Bayfront-The Islands,1045,690,550,600,1990,5425,5340,3375,1970,1625,1590,1605,1495,1300,1000,790,440,305,130,25,0,13260,15745,29010,29005,15.3,1.7,935,1480,9905,235,17745,7470,11325,18265,525,17395,1395,16100,13060,2470,250,1665,2460,355,385,610,250,430,470,1470,6205,7495,21510,27575,1220,23820,454157527510.0,800670,625680,680655,15751385,12501045
Church-Wellesley,495,230,175,465,3010,4080,3565,2255,1275,1080,1230,1300,1060,790,575,365,225,85,60,0,0,7830,13590,21420,21420,23.3,1.5,395,1790,8795,0,13645,3565,11110,14225,450,13170,1505,9970,9005,1245,250,1850,1830,235,230,945,415,545,615,1325,2695,6230,15195,20460,830,16740,25135086010.0,755795,715665,670695,11651130,890640
Downtown Yonge East,480,325,245,390,2340,3330,2675,1645,1010,825,855,920,705,545,570,420,255,135,20,10,0,6540,10100,16640,16645,22.4,1.6,390,1255,6265,15,10555,3990,7065,10745,310,10085,970,8200,7120,980,165,1150,1655,195,160,620,260,425,420,755,2745,4780,11860,15810,715,13345,1253530020.0,620440,480460,465490,895810,620545
Bay-Cloverhill,370,255,120,535,3810,3330,2085,1105,625,505,645,660,530,455,595,445,320,180,95,20,0,5765,10165,15930,15925,29,1.6,375,1445,6025,0,10375,3210,7380,10290,295,9525,1060,6325,6985,800,75,845,1460,115,285,1260,465,385,365,825,2215,5770,10155,15580,300,12390,30016015.0,450490,365465,390430,770595,585520
