,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,pop_100_plus,single_parents,two_plus_person_household,one_person_household,married,not_married,household_income,income_under_5000,income_between_5000_9999,income_between_10000_14999,income_between_15000_19999,income_between_20000_29999,income_between_30000_39999,income_between_40000_49999,income_between_50000_59999,income_between_60000_79999,income_between_80000_99999,low_income_percent,non_immigrants,immigrants,apart_5_plus,single_detached_house,other_dwelling,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,no_certificate_diploma_degree,highschool_diploma,post_secondary_diploma,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,avg_household_size,income_above_100k,total_population
west humber clairville,1865.0,1950.0,2155.0,2550.0,2855.0,2755.0,2360.0,2175.0,2445.0,2545.0,2360.0,1975.0,1780.0,1345.0,1070.0,895.0,585.0,300.0,90.0,20.0,0.0,5955.0,1010.0,1620.0,15185.0,12935.0,10130.0,160.0,140.0,165.0,415.0,845.0,870.0,875.0,1010.0,1710.0,1255.0,14.3,12820.0,19680.0,2080.0,235.0,5.0,7080.0,3055.0,9135.0,995.0,8045.0,2085.0,6175.0,8330.0,12865.0,17615.0,1350.0,16255.0,9765.0,1045.0,3985.0,400.0,25.0,0.0,3.04,2615.0,34075.0
westminster branson,1245.0,1080.0,1210.0,1500.0,1685.0,1765.0,1715.0,1720.0,1800.0,1855.0,1970.0,1625.0,1580.0,950.0,1075.0,895.0,865.0,615.0,230.0,65.0,15.0,5825.0,300.0,2725.0,11590.0,10315.0,10090.0,320.0,225.0,380.0,880.0,1345.0,1280.0,895.0,680.0,1360.0,920.0,25.9,6765.0,17820.0,7765.0,590.0,5.0,4045.0,6040.0,9415.0,690.0,8380.0,1705.0,2555.0,5105.0,14130.0,13485.0,1115.0,12370.0,6000.0,475.0,4380.0,250.0,35.0,140.0,2.4225,1750.0,25460.0
weston,1270.0,985.0,940.0,1100.0,1270.0,1420.0,1405.0,1255.0,1330.0,1440.0,1375.0,1220.0,925.0,640.0,520.0,400.0,350.0,195.0,105.0,20.0,5.0,3820.0,170.0,3070.0,6470.0,8510.0,7910.0,315.0,160.0,455.0,590.0,995.0,1035.0,845.0,815.0,875.0,640.0,23.6,8850.0,8615.0,4660.0,250.0,0.0,3095.0,4810.0,7465.0,450.0,6445.0,1460.0,4000.0,4040.0,6680.0,9585.0,830.0,8760.0,4800.0,285.0,2975.0,170.0,45.0,30.0,2.2135,1160.0,18170.0
weston pelham park,660.0,655.0,715.0,825.0,815.0,965.0,955.0,915.0,925.0,1020.0,935.0,765.0,610.0,380.0,275.0,260.0,200.0,110.0,20.0,5.0,0.0,2355.0,220.0,1245.0,4735.0,5250.0,4395.0,110.0,205.0,240.0,345.0,560.0,360.0,340.0,330.0,575.0,520.0,20.5,5515.0,6230.0,655.0,1270.0,20.0,2585.0,1810.0,4175.0,230.0,3720.0,685.0,3730.0,2740.0,3500.0,6480.0,495.0,5990.0,2395.0,340.0,2355.0,225.0,120.0,65.0,2.489,825.0,12010.0
wexford maryvale,1430.0,1320.0,1530.0,1740.0,1710.0,1620.0,1570.0,1665.0,1940.0,2340.0,2235.0,1830.0,1465.0,1060.0,990.0,860.0,900.0,535.0,205.0,45.0,5.0,5850.0,425.0,2470.0,11875.0,10875.0,9980.0,215.0,185.0,235.0,490.0,850.0,1060.0,965.0,1045.0,1485.0,1330.0,15.5,13475.0,12840.0,1775.0,15.0,10.0,6325.0,3650.0,9445.0,525.0,8535.0,1445.0,4780.0,6865.0,10760.0,13910.0,845.0,13070.0,6910.0,575.0,3930.0,365.0,0.0,10.0,2.5934999999999997,2085.0,26995.0
willowdale east,2010.0,1475.0,1520.0,2375.0,4095.0,5120.0,4715.0,3705.0,3410.0,3400.0,3190.0,2745.0,2210.0,1490.0,1195.0,890.0,740.0,495.0,180.0,35.0,5.0,10855.0,390.0,6480.0,21625.0,18405.0,19635.0,1680.0,515.0,560.0,865.0,1285.0,1415.0,1475.0,1530.0,2735.0,2205.0,24.9,13955.0,28535.0,13340.0,70.0,15.0,13510.0,6125.0,18525.0,1100.0,16635.0,2990.0,2670.0,7635.0,29585.0,24750.0,1915.0,22835.0,9855.0,625.0,8455.0,1235.0,15.0,125.0,2.1374999999999997,5355.0,45000.0
willowdale west,670.0,505.0,495.0,565.0,1140.0,1345.0,1310.0,1080.0,1010.0,980.0,1045.0,1030.0,860.0,675.0,640.0,600.0,545.0,350.0,130.0,15.0,10.0,3540.0,135.0,2355.0,7275.0,6060.0,6680.0,410.0,125.0,135.0,490.0,580.0,465.0,530.0,540.0,845.0,680.0,19.3,5995.0,8365.0,3730.0,145.0,0.0,4560.0,2120.0,6415.0,265.0,6115.0,555.0,1275.0,2445.0,9505.0,7715.0,450.0,7265.0,3095.0,170.0,2640.0,390.0,0.0,80.0,2.109,1835.0,15000.0
willowridge martingrove richview,1110.0,1070.0,1195.0,1320.0,1355.0,1235.0,1105.0,1190.0,1460.0,1570.0,1635.0,1355.0,1220.0,925.0,910.0,1025.0,895.0,565.0,150.0,35.0,10.0,5280.0,220.0,1975.0,10035.0,7920.0,8150.0,170.0,60.0,165.0,285.0,745.0,860.0,870.0,570.0,1185.0,965.0,12.8,11445.0,9700.0,3420.0,540.0,0.0,4610.0,3540.0,7625.0,510.0,7120.0,1030.0,3755.0,4875.0,9290.0,10190.0,625.0,9560.0,5690.0,470.0,2410.0,190.0,0.0,25.0,2.47,2200.0,21335.0
woburn,3485.0,3415.0,3400.0,3575.0,4005.0,3825.0,3835.0,3805.0,3830.0,3945.0,3580.0,2905.0,2355.0,1950.0,1800.0,1690.0,1185.0,595.0,195.0,20.0,10.0,11150.0,980.0,3995.0,23645.0,19435.0,18380.0,745.0,305.0,755.0,1150.0,1890.0,2040.0,1875.0,1815.0,2680.0,1645.0,24.7,20845.0,30500.0,9160.0,285.0,10.0,9910.0,8485.0,16265.0,2120.0,14355.0,4040.0,9135.0,12195.0,21395.0,24990.0,2595.0,22385.0,11835.0,1455.0,6650.0,630.0,0.0,130.0,2.7265,3435.0,53405.0
woodbine corridor,890.0,595.0,550.0,525.0,590.0,675.0,995.0,1230.0,1125.0,1150.0,935.0,795.0,590.0,345.0,235.0,210.0,170.0,70.0,10.0,5.0,0.0,2850.0,70.0,1860.0,5055.0,4615.0,5210.0,205.0,100.0,265.0,240.0,485.0,325.0,270.0,400.0,525.0,570.0,15.0,8365.0,3160.0,445.0,1565.0,15.0,3245.0,1955.0,5125.0,85.0,4855.0,355.0,1410.0,2075.0,6150.0,6930.0,320.0,6605.0,2480.0,230.0,2650.0,290.0,220.0,70.0,2.166,1815.0,11690.0
woodbine lumsden,420.0,345.0,310.0,360.0,405.0,470.0,640.0,645.0,670.0,735.0,700.0,590.0,470.0,305.0,285.0,205.0,170.0,65.0,25.0,0.0,0.0,1865.0,55.0,1160.0,3450.0,3300.0,3480.0,175.0,70.0,80.0,260.0,210.0,235.0,250.0,335.0,480.0,370.0,16.2,5210.0,2545.0,615.0,325.0,0.0,2385.0,1100.0,3430.0,55.0,3120.0,365.0,1110.0,1830.0,3815.0,4425.0,180.0,4245.0,1460.0,160.0,1965.0,150.0,140.0,10.0,2.1565,1000.0,7815.0
wychwood,730.0,610.0,540.0,650.0,870.0,1010.0,1085.0,995.0,1100.0,1000.0,875.0,860.0,755.0,580.0,510.0,535.0,500.0,385.0,255.0,120.0,10.0,2885.0,115.0,1870.0,5690.0,6415.0,5530.0,255.0,110.0,280.0,430.0,550.0,510.0,365.0,365.0,545.0,560.0,17.8,7585.0,4960.0,985.0,920.0,0.0,2705.0,2830.0,5345.0,180.0,4920.0,615.0,1970.0,2225.0,6665.0,7245.0,470.0,6780.0,2025.0,200.0,2680.0,390.0,495.0,135.0,2.128,1530.0,13975.0
yonge eglinton,620.0,530.0,400.0,445.0,675.0,1080.0,1055.0,885.0,850.0,740.0,625.0,735.0,655.0,470.0,255.0,240.0,160.0,115.0,35.0,15.0,0.0,2525.0,15.0,2255.0,4785.0,4240.0,5205.0,180.0,80.0,210.0,170.0,400.0,415.0,300.0,420.0,620.0,425.0,10.9,7555.0,2720.0,1510.0,475.0,5.0,2045.0,3155.0,5155.0,50.0,4885.0,320.0,495.0,1470.0,7045.0,6520.0,295.0,6230.0,1945.0,155.0,2525.0,565.0,60.0,120.0,1.976,1980.0,10585.0
yonge st clair,395.0,345.0,235.0,285.0,645.0,1355.0,1125.0,900.0,860.0,755.0,715.0,760.0,820.0,755.0,525.0,445.0,365.0,225.0,125.0,30.0,15.0,2715.0,20.0,3565.0,5140.0,5535.0,6785.0,280.0,130.0,145.0,230.0,410.0,490.0,520.0,665.0,835.0,580.0,11.4,7935.0,3175.0,4070.0,450.0,0.0,2620.0,4155.0,6715.0,65.0,6345.0,440.0,335.0,1255.0,8975.0,7535.0,305.0,7235.0,2185.0,130.0,3020.0,685.0,135.0,80.0,1.672,2460.0,11680.0
york university heights,1645.0,1385.0,1380.0,1750.0,3280.0,2815.0,2120.0,1800.0,1820.0,1940.0,1750.0,1335.0,1150.0,870.0,890.0,825.0,545.0,275.0,85.0,30.0,5.0,5295.0,435.0,2860.0,10655.0,12625.0,10310.0,750.0,310.0,500.0,675.0,1145.0,1150.0,975.0,1005.0,1530.0,820.0,25.9,10180.0,15935.0,5075.0,1555.0,50.0,4645.0,5665.0,9510.0,800.0,8150.0,2160.0,5495.0,6620.0,10755.0,13570.0,1370.0,12185.0,5810.0,550.0,4380.0,630.0,55.0,40.0,2.5745,1425.0,27695.0
yorkdale glen park,640.0,690.0,815.0,835.0,845.0,890.0,895.0,860.0,1050.0,1085.0,1030.0,850.0,765.0,610.0,690.0,755.0,690.0,465.0,185.0,45.0,5.0,3010.0,195.0,1375.0,6060.0,6480.0,5245.0,100.0,110.0,230.0,270.0,610.0,520.0,615.0,455.0,735.0,415.0,17.7,6130.0,7300.0,1245.0,85.0,10.0,2965.0,2280.0,4980.0,255.0,4540.0,695.0,3625.0,3145.0,4855.0,6950.0,575.0,6365.0,2810.0,320.0,2265.0,410.0,0.0,20.0,2.489,1180.0,14695.0
