,single_detached_house,apart_5_plus,other_dwelling,avg_household_size, married,not_married,single_parents,one_person_household,two_plus_person_household,low_income_percent,non_immigrants,immigrants,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,population for 100 years and over,household_income,income_under_5000,income_between_5000_9000,income_between_10000_14999,"$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$15,000 to $19,999","$20,000 to $29,000","$30,000 to $39,000","$40,000 to $49,000",total_highest_education,no_certificate_diploma_degree,highschool_diploma,trades_certificate,non-university_certificate,university_certificate,bachelors_or_above,bachelors,above_bachelors
keelesdaleeglinton west,1670,665,1845,2.64,4815,4625,715,1150,210,18.3,"4,480","6,185","2,585","1,610","3,970",215,"3,630",555,"9,425","3,745","5,675","2,410",465,"1,835",185,50,35,275245,285270,260270,345325,395380,360385,405385,365405,365385,395390,460475,400415,290330,255305,165225,125190,130165,60105,1540,05,00,"4,180",70,80,125,330,290,275,225,225,275,245220,205195,200185,9425,3640,2675,280250,1270,205,1105,835,110
kennedy park,1805,2835,1940,2.6,6820,7535,1310,2005,295,26.3,"7,390","9,465","3,600","2,980","6,130",445,"5,620",955,"14,335","5,900","8,430","3,335",325,"3,505",125,45,80,490425,485435,480440,555505,570535,550565,475595,495575,485600,605660,750750,655705,565570,375445,240310,205270,160210,95125,4050,55,00,"6,575",105,205,370,585,430,430,350,290,450,410360,365365,330280,14325,2990,4410,480330,2575,525,3025,2035,210
kensingtonchinatown,70,4630,4045,2,5470,11155,860,4095,1450,33.2,"8,570","7,615","2,540","6,200","8,395",330,"7,930",805,"16,145","5,945","10,205","1,100",165,"2,245","3,840",940,120,275240,235215,195160,360380,13151300,13751350,995920,630580,505465,480475,465545,465515,375430,315385,175305,215310,210305,125170,45100,510,55,"8,740",515,400,550,620,505,445,385,325,945,470480,370390,340325,16155,2850,4205,295175,1855,380,6395,4070,285
kingsview villagethe westway,2175,4760,850,2.82,8780,8980,1770,1750,395,24.9,"10,110","11,425","4,055","3,735","6,920",860,"6,175","1,605","17,750","7,425","10,315","5,335",450,"2,665",270,45,65,735690,780700,680655,760740,775740,715700,635785,620740,620745,670785,780830,665660,575640,470540,360400,290375,240345,160220,60105,510,00,"7,785",115,95,170,765,655,565,430,400,290,390370,395425,425410,17735,4170,5505,465435,2940,515,3720,2540,280
kingsway south,2310,790,485,2.56,4900,2790,265,845,80,4.5,"7,115","1,960","2,910",660,"3,580",10,"3,515",55,"7,585","2,450","5,150","2,210",120,"1,185",115,30,50,195250,275270,325275,300300,235255,155165,150160,230260,285335,325380,385430,330365,290360,265335,200265,145175,130155,70100,4585,515,105,"3,590",45,20,30,135,165,145,145,140,45,7055,6060,7075,7580,545,1290,10065,975,155,4440,2605,280
lambton baby point,1270,700,1160,2.56,3510,2775,510,815,105,18.5,"5,485","2,410","1,845","1,280","3,040",75,"2,900",225,"6,285","1,965","4,310","1,610",135,"1,400",140,125,40,270270,305320,280260,280220,190210,195180,195265,265335,280320,290365,290320,250315,230255,165200,105135,65105,5060,2060,1040,05,00,"3,120",60,65,120,170,125,130,115,110,160,145130,130100,70100,6285,855,1215,160100,880,125,2950,1660,220
lamoreaux,3685,6760,4605,2.89,20130,17760,2850,2990,635,23.5,"13,710","28,325","9,825","5,205","13,960","1,075","12,990","2,040","37,380","16,560","20,820","10,005","1,220","5,895",370,85,120,10201010,10401000,10251025,13851250,15651530,15301520,12301360,10351160,11351380,13501795,17601930,14351700,13001515,11251440,7851080,7501020,610825,350555,135230,3050,05,"15,045",365,245,365,"1,340","1,150","1,055",855,710,820,640825,815775,745680,37390,8055,10555,765625,6475,1120,9780,6920,685
lansingwestgate,2355,3335,900,2.44,7690,6060,680,1875,440,17.6,"7,960","7,075","3,840","2,740","6,335",255,"5,840",750,"13,650","4,105","9,550","3,705",195,"3,015",530,30,115,415405,435440,370350,435430,610635,615695,655695,600735,580640,535625,575620,485560,395470,330350,210255,160205,125150,100120,3080,1515,50,"6,595",330,130,160,430,390,335,330,300,225,230230,215235,210185,13650,1050,2740,145150,1780,430,7355,4400,540
lawrence park north,3110,205,2095,2.69,7225,4100,490,1275,125,6.7,"11,085","3,340","4,115","1,315","5,395",15,"5,270",150,"11,275","2,915","8,370","3,065",195,"2,695",340,85,85,500445,655570,575530,475460,370350,270280,280350,455560,590655,640755,570575,470530,340400,315355,200260,145165,100130,6595,3055,510,00,"5,420",80,55,90,195,190,205,215,210,145,10595,90120,105105,11275,870,1745,135115,1135,265,7000,4140,415
lawrence park south,3420,925,1415,2.63,7505,4815,470,1470,135,7.3,"11,690","3,180","4,005","1,750","5,690",65,"5,535",210,"12,270","3,360","8,905","3,480",305,"2,160",420,135,110,335335,515480,590600,540565,495500,350435,315400,365470,445605,570635,585675,565575,455525,350410,285265,160175,115155,85125,3070,05,00,"5,745",100,80,105,240,215,205,190,175,125,125120,100135,95110,12270,945,1815,120100,1115,285,7880,4315,465
leasidebennington,3565,525,2340,2.59,8050,5505,600,1775,130,6.9,"13,130","3,375","4,635","1,800","6,380",50,"6,185",255,"13,365","3,750","9,605","4,475",350,"1,795",505,235,65,410405,610570,680620,580595,520475,295305,260340,420515,580665,725835,760770,610720,470540,385425,295355,160215,120200,90145,3090,535,50,"6,435",120,65,80,310,265,265,270,230,130,150160,150155,140165,13365,1125,2350,12580,1680,325,7665,4665,465
little portugal,270,2955,4205,2.03,6105,8050,620,2925,1075,15.6,"9,720","4,835","3,280","4,145","7,310",115,"6,950",470,"13,655","2,940","10,715","2,555",275,"3,450","1,335","1,260",90,295275,255200,180200,215195,540650,12551470,12151165,830780,570510,435415,385365,380330,270340,245270,205230,160220,110160,6590,3550,010,05,"7,425",200,150,250,605,550,540,470,425,305,285305,310315,325305,13655,2385,2775,230200,1990,235,5840,4010,220
long branch,1480,1135,2195,2.09,4295,4460,595,1875,310,17.6,"6,415","3,445","2,240","2,575","4,720",100,"4,360",450,"8,725","2,475","6,240","3,145",230,"1,585",175,110,45,255250,225225,205180,215205,355350,400415,420415,385380,340335,350390,430440,445400,340335,255275,170180,105110,6595,4055,1030,010,55,"4,815",120,95,175,400,360,310,295,230,220,240225,195225,215230,8730,1320,2340,225215,1800,230,2585,1735,160
malvern,3475,3175,6780,3.26,18350,17565,3150,2120,520,20.4,"15,960","26,900","9,395","4,020","12,160","1,260","11,090","2,330","35,875","13,850","22,030","10,785","1,400","6,425",425,60,115,12251175,13851295,14301380,15801590,17701660,15851640,14301535,11601455,13001540,13501610,15301745,14201560,12051360,10401215,690855,475585,260320,150170,4070,520,00,"13,425",195,160,290,"1,360","1,200","1,000",905,795,515,485600,630680,650655,35885,7345,11575,1155710,6915,935,7230,5465,385
maple leaf,1635,800,1115,2.77,4560,4055,640,765,165,15.2,"4,345","5,245","2,000","1,560","3,265",285,"2,875",680,"8,365","3,125","5,240","2,495",225,"1,620",180,10,60,255240,260255,255235,310290,350310,320310,290310,305370,295360,360400,400405,350355,225270,190230,170215,180265,180220,105140,3580,55,50,"3,560",45,35,55,345,320,220,200,190,105,175200,150185,195180,8370,2395,2380,330200,1200,275,1580,1310,95
markland wood,1780,2025,500,2.43,5215,3995,495,1185,125,8.3,"6,505","3,890","3,200","1,105","4,225",85,"4,070",240,"9,110","3,395","5,710","3,025",275,"1,085",180,40,55,185165,255200,260270,295285,295295,240240,175240,240245,265320,355405,430435,420515,375420,305370,250310,190285,190275,125220,50105,1020,55,"4,305",45,25,45,320,285,275,255,230,65,125145,140135,170160,9110,1070,2255,205200,1655,195,3525,2390,290
milliken,3900,1970,1795,3.39,12810,10080,1590,925,250,22.1,"6,805","18,265","6,810",860,"7,025",660,"6,545","1,150","22,385","9,980","12,405","6,540","1,145","2,510",180,40,50,750630,655605,530500,685700,940850,11151035,855945,675730,705785,755920,9801090,9651075,9601025,795875,485515,355470,315420,210310,100155,2080,105,"7,680",125,75,130,645,635,565,510,395,335,245450,400355,380345,22385,6320,7115,340280,3070,625,4635,3700,255
mimico includes humber bay shores,2255,10810,4710,1.87,15295,15155,1610,8210,870,18.2,"18,925","13,425","9,150","8,635","17,360",435,"16,360","1,420","29,835","8,300","21,535","11,095",760,"5,040",505,310,265,725750,570525,470460,500520,9551030,16701860,19301865,15251425,11851270,11251170,12601390,12551250,9851150,840945,630660,405505,285335,170210,5095,025,50,"17,785",570,370,635,"1,270","1,255","1,120","1,105",920,990,750665,660645,705675,29840,3570,6410,760650,6080,835,11520,7560,890
morningside,2280,2130,1465,2.92,7305,7285,1200,1205,320,23.8,"7,240","9,495","3,530","2,345","5,390",485,"4,885",990,"14,280","5,765","8,515","4,240",505,"2,485",130,10,75,495440,520500,485445,555600,825695,650660,505570,475585,420505,520610,615695,645650,515550,400450,280340,235275,165195,105140,2565,1020,00,"5,880",140,125,215,475,425,385,320,310,260,250295,285270,310275,14275,2465,4345,450340,3065,405,3220,2255,275
moss park,65,8240,3245,1.6,6690,12270,720,6850,880,31.9,"11,240","6,470","3,920","7,630","11,285",280,"10,625",940,"17,025","4,605","12,425","2,195",165,"3,295","3,915",690,155,355310,265230,180195,240270,795740,14351350,15001345,1210890,950655,1020550,1060550,895460,685460,480345,260215,170135,8580,3540,2025,105,50,"11,555",485,725,"1,050",645,635,580,520,500,855,525495,370395,405355,17030,1680,3415,290255,2510,425,8465,5480,495
mount dennis,955,2495,1725,2.56,4850,6350,1340,1455,260,25.3,"5,545","7,430","2,440","2,740","4,860",320,"4,135","1,045","10,860","3,980","6,890","2,725",330,"2,665",125,25,40,400405,420385,405385,405465,475470,500520,480520,435525,415465,425530,520600,460530,410365,225315,185235,130160,80115,6090,1560,530,50,"5,175",110,125,255,490,425,315,320,275,310,285290,310295,240280,10865,2810,3385,375305,1980,350,1650,1045,205
mount olivesilverstonejamestown,1655,6165,2065,3.32,12905,12955,2535,1520,510,27.9,"10,425","21,500","4,425","5,455","8,020","1,855","6,820","3,055","25,735","11,185","14,560","6,965",930,"4,110",385,35,170,11251065,12951200,11951210,13101275,13651290,11951215,10351220,9801210,10301240,11001215,10651130,970985,750780,610675,415460,280350,215245,120105,2555,00,05,"9,870",150,210,290,"1,065",915,740,590,500,435,405515,575615,590580,25730,7895,7785,680545,3845,555,4450,3015,270
mount pleasant east,2160,2275,3005,2.25,7865,5920,615,2650,335,10.3,"11,880","4,510","4,205","3,230","7,310",125,"7,045",395,"13,780","3,595","10,180","3,590",310,"2,890",675,215,85,510505,530505,465465,420460,405415,485555,530645,630735,645705,635725,625695,480585,405550,380470,275350,170240,115195,60100,1555,025,00,"7,440",155,95,170,445,425,370,315,290,315,230220,210220,220215,13780,1015,2280,185135,1865,325,7970,4720,505
mount pleasant west,475,14785,2235,1.65,11720,15555,1135,9680,1120,20.8,"15,955","11,295","4,415","13,070","16,795",700,"15,805","1,695","26,550","6,805","19,750","4,745",370,"9,435","1,840",250,100,550515,375355,305285,390420,765940,18252155,21252260,14051495,10101150,8251020,860950,730895,555870,540750,360645,285475,185390,135350,75250,2585,205,"17,490",765,455,690,"1,470","1,320","1,185","1,085",910,975,750645,610690,735735,26555,1500,4475,380320,4165,775,14915,9275,965
new toronto,1555,1180,2635,2.1,4330,5375,780,2205,355,24.8,"6,975","3,970","2,335","3,040","5,220",150,"4,885",490,"9,675","3,050","6,630","2,995",240,"1,815",265,155,60,320295,295265,235195,290255,440405,450455,430465,405470,405425,395410,455465,420410,350390,255265,175180,130170,80130,3055,1035,55,50,"5,375",140,150,300,390,340,285,205,195,450,350290,295240,225210,9680,1610,2505,255215,2015,295,2790,1990,220
newtonbrook east,2760,2590,765,2.54,7615,6900,705,1590,475,27.4,"4,465","9,945","3,965","2,155","5,845",275,"5,435",680,"13,950","5,715","8,235","3,245",295,"2,705",270,35,55,265280,265240,280260,415415,690675,780730,610595,415490,405505,475615,575640,530610,490515,420500,285360,245350,220270,150260,55135,1045,100,"6,105",390,155,210,400,380,350,280,275,375,245325,260190,210225,13950,1485,3005,215180,1815,505,6745,4290,440
newtonbrook west,2530,4400,2030,2.64,10960,10070,1355,2145,675,26.3,"6,450","15,665","4,710","4,250","8,145",820,"7,465","1,500","20,825","8,265","12,570","4,760",625,"4,535",470,55,130,515465,470400,515435,730640,1000955,925915,780915,725935,715860,775975,8451050,835890,620775,525655,400470,330405,285400,160240,65150,1040,100,"8,960",455,215,295,665,620,540,455,380,545,460510,485410,375370,20830,2450,5515,605390,3040,915,7920,5030,730
niagara,35,15645,3100,1.62,12870,16250,885,10085,1655,13.7,"20,255","8,995","9,380","9,395","18,415",355,"17,660","1,105","28,395","3,490","24,905","6,820",640,"6,965","5,070","1,330",285,610580,265250,165185,180215,8801155,32653610,34003380,21951930,12851165,875810,705715,520525,380435,300340,170220,125120,4585,2545,020,00,00,"18,765",515,335,535,"1,350","1,415","1,395","1,325","1,195",550,535540,515530,600650,28390,1280,3805,360380,4895,655,17025,11835,890
north riverdale,815,700,3480,2.33,5435,4520,490,1660,275,10.9,"8,605","2,925","2,805","2,205","4,970",50,"4,815",195,"9,730","2,355","7,380","1,940",175,"2,335",695,615,115,370310,350340,295290,305260,320285,310370,405465,445525,445465,475475,550545,435485,355375,300330,175215,140165,90120,4550,1525,50,00,"5,005",105,65,130,320,275,240,210,210,170,175160,165155,185175,9735,1040,1850,15575,1260,155,5185,3030,325
north st james town,5,8845,705,1.92,6465,9870,945,4530,1140,36.5,"7,405","9,485",955,"8,610","8,485","1,080","7,380","2,185","16,070","5,485","10,590","1,290",140,"5,230","1,945",475,135,515420,350365,310310,385355,785740,12501030,12151010,1030790,735585,730605,810575,595550,415425,345330,175225,110155,55125,5080,1555,515,00,"9,560",440,450,765,815,600,525,400,340,925,570555,540520,470490,16075,2040,3805,335300,2650,635,6305,4010,465
oakridge,1050,3175,1050,2.57,5340,5640,845,1790,275,42.6,"5,660","7,520","1,680","3,595","4,510",770,"3,975","1,310","10,750","4,820","5,935","1,795",130,"2,725",245,35,50,500485,475480,460460,475405,405395,405445,490585,475610,500510,525495,530455,500425,360320,245260,150235,120160,80130,4085,2595,025,00,"5,285",145,290,410,435,350,250,210,180,480,330330,350335,310250,10755,2270,3020,265210,1715,330,2950,1660,180
oakwood village,2795,1525,4375,2.42,8895,9190,1425,2660,575,18.6,"10,280","9,965","4,605","4,085","8,290",390,"7,600","1,080","17,840","6,005","11,825","3,825",410,"4,930",390,430,140,605560,520510,490440,525505,595640,735730,815880,760880,745860,790785,725795,660730,540655,460565,365465,300430,235320,140210,45105,1025,50,"8,685",155,180,255,615,580,520,430,385,620,505410,470435,440355,17835,4450,4175,570340,2705,510,5080,3270,315
