,single_detached_house,apart_5_plus,other_dwelling,avg_household_size, married,not_married,single_parents,one_person_household,two_plus_person_household,low_income_percent,non_immigrants,immigrants,owner,renter,own_room,sharing_room,suitable_housing,not_suitable_housing,total_work_activity,unemployed,employed,commute_drives,commute_passenger,commute_public_transport,commute_walk,commute_cycle,commute_other,pop_0_to_4,pop_5_to_9,pop_10_to_14,pop_15_to_19,pop_20_to_24,pop_25_to_29,pop_30_to_34,pop_35_to_39,pop_40_to_44,pop_45_to_49,pop_50_to_54,pop_55_to_59,pop_60_to_64,pop_65_to_69,pop_70_to_74,pop_75_to_79,pop_80_to_84,pop_85_to_89,pop_90_to_94,pop_95_to_99,population for 100 years and over,household_income,income_under_5000,income_between_5000_9000,income_between_10000_14999,"$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$15,000 to $19,999","$20,000 to $29,000","$30,000 to $39,000","$40,000 to $49,000",total_highest_education,no_certificate_diploma_degree,highschool_diploma,trades_certificate,non-university_certificate,university_certificate,bachelors_or_above,bachelors,above_bachelors
tam oshantersullivan,3080,4860,2135,2.69,12840,10730,1635,2425,430,23.8,"9,285","16,725","5,675","4,390","9,230",825,"8,545","1,545","23,155","10,145","13,015","5,950",705,"3,820",300,35,110,685635,680660,620615,770725,920800,915925,775870,720875,750885,860970,9901140,8701005,740895,635800,510705,470740,455630,265480,115275,1560,100,"10,055",225,155,255,850,730,630,600,470,615,505580,520510,520460,23155,4460,6350,555420,3690,755,6895,4830,375
taylormassey,600,4840,830,2.47,6670,6060,895,1900,450,32.9,"6,055","8,705","2,060","4,215","5,220","1,045","4,455","1,815","12,530","4,615","7,915","1,940",135,"4,245",260,55,35,560555,560490,425370,350385,485465,625650,695785,660685,620645,600520,525565,480490,405375,265290,155175,125200,85150,50110,2060,015,55,"6,270",185,180,330,620,495,410,310,240,385,375385,385390,385385,12530,2030,3065,305175,2050,375,4535,2435,260
the beaches,2590,640,6185,2.27,10220,7530,900,3260,300,9.4,"16,900","4,225","5,885","3,540","9,380",40,"9,085",340,"17,620","4,195","13,435","5,165",590,"2,995",750,570,135,650595,665665,620640,520565,500505,485600,630780,750905,815900,925955,880950,770860,685815,555625,350430,185230,135165,80100,1540,015,00,"9,425",195,150,260,510,455,445,430,405,295,270245,225280,255295,17625,1455,3420,255200,2680,375,9235,5705,590
thistletownbeaumond heights,1575,680,1020,3.09,4480,4155,695,570,150,17.8,"4,470","5,465","2,035","1,245","3,005",270,"2,760",520,"8,395","3,300","5,100","2,860",320,"1,030",110,15,20,265270,300300,325270,315325,410340,330355,330390,335330,295310,355360,370395,355310,245290,240255,180195,155185,155170,70145,3570,1015,50,"3,280",40,35,65,290,270,185,210,185,120,150140,160165,170180,8395,2075,2340,265310,1440,280,1690,1175,95
thorncliffe park,0,6660,455,2.93,8865,6655,870,1915,370,45.5,"6,620","13,270",780,"6,335","5,005","2,120","4,115","3,005","15,250","7,105","8,145","2,835",290,"3,190",565,55,90,995990,10601000,805735,675575,610600,695815,800960,745890,805770,780640,595515,440495,350375,275380,195280,180250,140210,70165,40100,1045,05,"7,125",250,160,255,730,560,425,360,270,475,375490,490465,470415,15245,3195,4015,265135,2070,505,5075,3125,265
trinitybellwoods,385,295,6240,2.35,6960,7850,700,2155,945,14.7,"9,830","5,810","3,600","3,305","6,815",105,"6,505",400,"14,480","4,275","10,205","2,075",315,"2,605","1,760","1,380",125,355335,315255,270230,220255,525635,11151200,10351050,770665,665550,555550,515510,485410,345405,330325,230250,175295,180215,85135,3560,1010,05,"6,910",180,105,215,510,435,370,390,340,245,315245,300295,260255,14485,3115,3275,190190,1740,225,5745,3515,365
university,125,1125,2140,1.97,2650,4390,220,1445,575,22.4,"4,040","2,015","1,275","2,125","3,360",30,"3,160",240,"6,170","1,700","4,465",585,90,"1,260",950,555,65,115110,8595,8580,170160,590560,585560,410375,315230,210165,175180,190180,175160,150185,145165,110155,95130,90140,6580,2080,1035,100,"3,395",230,145,165,210,200,180,150,110,180,175130,125140,135110,6170,520,1190,10555,600,175,3515,1965,195
victoria village,1250,3235,2930,2.32,6950,7925,1290,2645,305,25.9,"7,670","9,185","3,050","4,350","6,905",510,"6,290","1,120","14,550","5,975","8,575","3,650",320,"3,025",260,20,55,450425,480440,440395,485495,535530,560570,510625,570685,515610,565665,625675,580620,480570,390515,290420,275435,185325,120215,55135,1535,100,"7,410",180,205,280,640,570,490,385,290,540,420385,400370,370425,14550,2930,3780,475260,2930,425,3760,2630,255
waterfront communitiesthe island,255,39265,1230,1.61,26455,35820,1685,22030,4440,16.5,"37,035","23,820","16,825","23,930","39,960",795,"37,805","2,955","61,985","10,485","51,500","9,100",760,"10,915","20,855","1,570",610,10801050,465455,285315,570555,31003590,78757885,65805820,37253100,22551875,16751515,14051390,12351325,9551160,785965,565675,340410,220320,110145,3570,520,50,"40,750","1,795",880,"1,175","2,690","2,945","2,895","2,585","2,405","1,305","1,2151,145","1,1051,160","1,2501,250",61990,1900,8340,625445,7470,1450,41735,27280,2360
west hill,3220,3485,3285,2.7,10385,12365,2350,2790,355,25.2,"13,280","13,345","5,930","4,055","9,495",500,"8,770","1,220","22,395","9,405","12,990","5,980",640,"3,990",290,30,95,750665,800795,820805,1040920,1005965,835915,750850,690835,735890,8751110,11001170,10001080,835880,610740,400575,360420,220295,135210,65135,2040,50,"9,985",135,395,560,795,680,605,565,500,650,490485,490465,465380,22395,4990,6425,765665,4625,600,4330,3015,315
west humberclairville,3870,2265,4150,3.2,14540,13730,1960,1790,705,15.8,"12,285","19,230","7,010","3,275","9,455",815,"8,495","1,795","27,850","10,015","17,815","9,445","1,140","4,380",425,60,95,800735,915815,950855,12501060,16801455,14201365,11401195,9601070,9351040,10651150,12401230,10701125,840950,770825,585605,410490,315390,195215,55110,1025,50,"10,285",215,145,200,900,830,835,690,615,290,345400,420430,445435,27845,5905,8510,835590,5025,800,6170,4245,410
westminsterbranson,870,7735,1620,2.55,11835,11010,1735,2745,540,24.4,"7,070","18,155","4,060","6,165","9,350",875,"8,400","1,815","22,720","8,590","14,125","5,585",550,"5,275",345,60,110,650610,560535,555515,785725,970875,830820,875955,7301075,7601020,8051045,8651080,8701005,755875,650825,380535,430605,260455,200385,95235,3560,515,"10,235",220,190,330,865,780,655,595,525,855,550605,545520,480505,22720,2745,5540,585340,4015,1005,8485,5195,1125
weston,1620,4405,1585,2.33,6260,8625,1630,2805,430,29.6,"8,475","8,690","2,800","4,795","7,070",525,"6,125","1,470","14,605","5,565","9,035","4,015",430,"2,975",285,30,90,545590,565470,460460,500490,605625,665675,605750,575650,545625,610645,685765,645665,540580,370465,210275,160270,110195,75150,3095,525,105,"7,595",150,265,465,615,510,425,310,295,670,455490,440405,375370,14605,3630,4180,540545,2970,340,2395,1705,210
westonpelham park,505,500,3220,2.62,4555,4865,765,1200,265,20.4,"5,430","5,370","2,475","1,750","4,085",150,"3,715",505,"9,420","3,515","5,900","2,070",415,"2,200",225,205,70,285270,305250,290275,330295,415375,435410,500520,475465,385440,370380,460425,445365,310290,225250,145170,90125,8590,3565,540,50,05,"4,225",55,200,255,260,265,255,220,230,235,225175,175180,175180,9420,3095,2590,285220,1420,195,1610,1130,90
wexfordmaryvale,5290,1865,2950,2.73,12065,11650,1775,2545,485,19.2,"13,180","13,905","6,090","4,015","9,580",530,"8,830","1,260","23,335","8,845","14,500","7,025",595,"4,170",380,80,105,695640,740715,740690,905760,1030945,955895,890855,800910,860930,9151035,11501220,10801095,860895,585720,455510,355490,280415,215365,65190,2060,55,"10,105",175,145,285,855,770,675,590,505,455,495455,535480,500445,23335,4395,7240,800645,4165,785,5305,3770,335
